#Total(seconds)   GW(seconds)       Red(seconds)      White(seconds)
-0.000073964975171 -0.000073903982411 0.000000000000000 -0.000000060992760
-0.000073385078319 -0.000073361857286 0.000000000000000 -0.000000023221033
-0.000072767974556 -0.000072827848621 0.000000000000000 0.000000059874064
-0.000072326697158 -0.000072280164750 0.000000000000000 -0.000000046532408
-0.000071822600673 -0.000071731012163 0.000000000000000 -0.000000091588510
-0.000071120439746 -0.000071195588794 0.000000000000000 0.000000075149048
-0.000070781692488 -0.000070660870081 0.000000000000000 -0.000000120822407
-0.000069979872346 -0.000070078983987 0.000000000000000 0.000000099111642
-0.000069537580200 -0.000069462981500 0.000000000000000 -0.000000074598701
-0.000068838717896 -0.000068829543991 0.000000000000000 -0.000000009173904
-0.000068121657581 -0.000068179048814 0.000000000000000 0.000000057391233
-0.000067389833051 -0.000067504235645 0.000000000000000 0.000000114402594
-0.000066878915085 -0.000066790330011 0.000000000000000 -0.000000088585074
-0.000066073088577 -0.000066057844264 0.000000000000000 -0.000000015244313
-0.000065416866073 -0.000065336602839 0.000000000000000 -0.000000080263234
-0.000064647593957 -0.000064612852036 0.000000000000000 -0.000000034741921
-0.000063858764445 -0.000063865292131 0.000000000000000 0.000000006527686
-0.000063300360321 -0.000063096974918 0.000000000000000 -0.000000203385403
-0.000062147106980 -0.000062330514586 0.000000000000000 0.000000183407607
-0.000061553652637 -0.000061584759062 0.000000000000000 0.000000031106425
-0.000060734289198 -0.000060831436998 0.000000000000000 0.000000097147800
-0.000060068943191 -0.000060085335324 0.000000000000000 0.000000016392133
-0.000059483254081 -0.000059345853715 0.000000000000000 -0.000000137400366
-0.000058511636851 -0.000058604482953 0.000000000000000 0.000000092846103
-0.000057877224516 -0.000057851326796 0.000000000000000 -0.000000025897721
-0.000056984591657 -0.000057086182542 0.000000000000000 0.000000101590885
-0.000056483676076 -0.000056341337012 0.000000000000000 -0.000000142339064
-0.000055744212434 -0.000055594005115 0.000000000000000 -0.000000150207319
-0.000054824036228 -0.000054840198701 0.000000000000000 0.000000016162473
-0.000054041407545 -0.000054056837675 0.000000000000000 0.000000015430130
-0.000053124012669 -0.000053264501784 0.000000000000000 0.000000140489115
-0.000052422631946 -0.000052430156539 0.000000000000000 0.000000007524593
-0.000051588834404 -0.000051557161336 0.000000000000000 -0.000000031673068
-0.000050784197983 -0.000050691826661 0.000000000000000 -0.000000092371322
-0.000049900909540 -0.000049806803872 0.000000000000000 -0.000000094105668
-0.000048897066790 -0.000048902156171 0.000000000000000 0.000000005089381
-0.000048062468557 -0.000047982559601 0.000000000000000 -0.000000079908956
-0.000047127499197 -0.000047032987883 0.000000000000000 -0.000000094511313
-0.000046268291203 -0.000046095184114 0.000000000000000 -0.000000173107090
-0.000045209304011 -0.000045155576920 0.000000000000000 -0.000000053727091
-0.000044297834880 -0.000044190132957 0.000000000000000 -0.000000107701923
-0.000043335837743 -0.000043236851343 0.000000000000000 -0.000000098986400
-0.000042326246549 -0.000042258557583 0.000000000000000 -0.000000067688967
-0.000041222307677 -0.000041272922010 0.000000000000000 0.000000050614334
-0.000040370118352 -0.000040301152887 0.000000000000000 -0.000000068965466
-0.000039155691262 -0.000039296265373 0.000000000000000 0.000000140574111
-0.000038371937546 -0.000038244946678 0.000000000000000 -0.000000126990868
-0.000037212961279 -0.000037182961173 0.000000000000000 -0.000000030000106
-0.000035971438365 -0.000036080613833 0.000000000000000 0.000000109175469
-0.000034913347844 -0.000034936263418 0.000000000000000 0.000000022915574
-0.000033828693107 -0.000033824790615 0.000000000000000 -0.000000003902492
-0.000032505244052 -0.000032679511060 0.000000000000000 0.000000174267008
-0.000031557856454 -0.000031502297497 0.000000000000000 -0.000000055558956
