#Total(seconds)   GW(seconds)       Red(seconds)      White(seconds)
-0.000053566837236 -0.000054172365998 0.000000007515072 0.000000598013690
-0.000053670711842 -0.000054155887639 0.000000027472101 0.000000457703697
-0.000054088994837 -0.000054148331756 0.000000007026240 0.000000052310679
-0.000053333311072 -0.000054142947476 0.000000032882588 0.000000776753816
-0.000053199470290 -0.000054126591439 0.000000030714906 0.000000896406243
-0.000055111330140 -0.000054102679739 0.000000045307867 -0.000001053958267
-0.000055295565324 -0.000054073725811 0.000000031803976 -0.000001253643489
-0.000053910859153 -0.000054052958435 0.000000032518087 0.000000109581195
-0.000053023848164 -0.000054034918323 0.000000027583954 0.000000983486205
-0.000053347297971 -0.000054014281038 0.000000034236623 0.000000632746444
-0.000053994015676 -0.000053995542554 0.000000054317372 -0.000000052790494
-0.000052969693006 -0.000053972851038 0.000000033670284 0.000000969487748
-0.000054992883129 -0.000053957882514 0.000000021539786 -0.000001056540401
-0.000052500586619 -0.000053929534288 0.000000025051532 0.000001403896138
-0.000054703473110 -0.000053912565490 0.000000018769319 -0.000000809676939
-0.000053593688021 -0.000053889796409 0.000000026852036 0.000000269256352
-0.000054077725827 -0.000053877468870 0.000000024365147 -0.000000224622104
-0.000053584079766 -0.000053866658414 0.000000015684972 0.000000266893675
-0.000053955255581 -0.000053865516098 0.000000006346174 -0.000000096085657
-0.000052498179087 -0.000053865037424 0.000000008079046 0.000001358779291
-0.000055464152230 -0.000053859335044 0.000000025417037 -0.000001630234222
-0.000054016877615 -0.000053855862625 0.000000024135562 -0.000000185150552
-0.000054654223663 -0.000053851132429 0.000000001839920 -0.000000804931153
-0.000053224796402 -0.000053849554613 -0.000000009487775 0.000000634245986
-0.000054309074182 -0.000053845872136 -0.000000004993886 -0.000000458208161
-0.000054311485848 -0.000053842871435 0.000000003127615 -0.000000471742028
-0.000054508177897 -0.000053835733969 -0.000000002186193 -0.000000670257735
-0.000054362348193 -0.000053827036347 0.000000028369615 -0.000000563681461
-0.000053932140261 -0.000053811765049 0.000000007904723 -0.000000128279935
-0.000052626425404 -0.000053795575689 0.000000015529584 0.000001153620701
-0.000053090390296 -0.000053765556291 0.000000010001833 0.000000665164163
-0.000054822410719 -0.000053748235527 0.000000009140266 -0.000001083315458
-0.000052436034119 -0.000053716825928 0.000000000387115 0.000001280404694
-0.000054324588879 -0.000053686878591 0.000000007029915 -0.000000644740202
-0.000054480604299 -0.000053657036679 0.000000008534416 -0.000000832102035
-0.000054676095266 -0.000053641801871 0.000000007089719 -0.000001041383115
-0.000054902977296 -0.000053622969887 0.000000006602243 -0.000001286609652
-0.000052825963361 -0.000053604426123 -0.000000009527052 0.000000787989814
-0.000053505112002 -0.000053594891220 -0.000000019661625 0.000000109440843
-0.000053397039028 -0.000053584541894 -0.000000022025276 0.000000209528142
-0.000055043008308 -0.000053576146761 -0.000000006831873 -0.000001460029674
